time,true_h,true_v,acc_cmd,acc_meas,baro_meas,ekf_h,ekf_v
0.000,100.0000,0.0020,2.0000,1.8423,102.8274,97.4084,0.0043
0.010,100.0001,0.0220,2.0000,1.8941,100.1339,98.0499,0.0356
0.020,100.0005,0.0420,2.0000,2.1669,100.6451,98.5449,0.0800
0.030,100.0010,0.0620,2.0000,1.7483,98.2247,98.4943,0.0944
0.040,100.0017,0.0820,2.0000,2.1993,100.1323,98.7220,0.1515
0.050,100.0027,0.1020,2.0000,2.4360,98.7679,98.7290,0.1740
0.060,100.0038,0.1220,2.0000,1.7174,100.1070,98.8814,0.2502
0.070,100.0051,0.1420,2.0000,2.1455,101.4091,99.1349,0.3983
0.080,100.0066,0.1620,2.0000,2.1120,99.7247,99.1925,0.4554
0.090,100.0084,0.1820,2.0000,1.9462,99.7543,99.2445,0.5171
0.100,100.0103,0.2020,2.0000,1.9951,100.8080,99.3740,0.6750
0.110,100.0124,0.2220,2.0000,1.9823,103.6289,99.7018,1.1313
0.120,100.0148,0.2420,2.0000,1.9203,102.1273,99.8875,1.4362
0.130,100.0173,0.2620,2.0000,2.0374,99.5006,99.8740,1.4019
0.140,100.0200,0.2820,2.0000,2.2897,99.0840,99.8337,1.3011
0.150,100.0230,0.3020,2.0000,1.9832,99.3489,99.8138,1.2367
0.160,100.0261,0.3220,2.0000,2.5180,100.7274,99.8852,1.4257
0.170,100.0294,0.3420,2.0000,1.6727,99.7319,99.8887,1.4119
0.180,100.0329,0.3620,2.0000,1.9424,98.8287,99.8332,1.1916
0.190,100.0367,0.3820,2.0000,2.1629,99.0512,99.7935,1.0211
0.200,100.0406,0.4020,2.0000,1.9412,99.4807,99.7826,0.9574
0.210,100.0447,0.4220,2.0000,1.8552,100.8423,99.8621,1.2654
0.220,100.0491,0.4420,2.0000,1.9283,101.1646,99.9619,1.6635
0.230,100.0536,0.4620,2.0000,2.1324,102.1235,100.1259,2.3463
0.240,100.0583,0.4820,2.0000,1.6796,96.8907,99.9215,1.3101
0.250,100.0633,0.5020,2.0000,1.9955,101.7597,100.0649,1.9475
0.260,100.0684,0.5220,2.0000,1.7903,97.4195,99.8904,1.0308
0.270,100.0737,0.5420,2.0000,2.0273,98.2644,99.7793,0.4558
0.280,100.0792,0.5620,2.0000,1.9770,100.1813,99.8140,0.6235
0.290,100.0850,0.5820,2.0000,1.9475,100.6116,99.8814,0.9469
0.300,100.0909,0.6020,2.0000,1.6956,99.2798,99.8430,0.7271
0.310,100.0970,0.6220,2.0000,2.1175,100.9891,99.9414,1.2029
0.320,100.1034,0.6420,2.0000,1.8220,99.9461,99.9529,1.2195
0.330,100.1099,0.6620,2.0000,1.9392,100.5183,100.0107,1.4671
0.340,100.1166,0.6820,2.0000,2.0317,97.3030,99.7984,0.3551
0.350,100.1236,0.7020,2.0000,2.1395,99.3252,99.7619,0.1753
0.360,100.1307,0.7220,2.0000,2.1698,97.3435,99.5575,-0.8258
0.370,100.1380,0.7420,2.0000,1.8035,99.8129,99.5720,-0.6931
0.380,100.1455,0.7620,2.0000,2.1668,100.5887,99.6538,-0.2385
0.390,100.1533,0.7820,2.0000,1.7460,101.3785,99.8022,0.5157
0.400,100.1612,0.8020,2.0000,2.2546,102.1283,100.0110,1.5238
0.410,100.1693,0.8220,2.0000,2.3798,101.3819,100.1457,2.1214
0.420,100.1777,0.8420,2.0000,1.9441,100.6145,100.2066,2.3311
0.430,100.1862,0.8620,2.0000,1.6213,100.3537,100.2410,2.4023
0.440,100.1949,0.8820,2.0000,1.7601,100.7854,100.3114,2.6426
0.450,100.2039,0.9020,2.0000,2.0693,100.9738,100.3945,2.9311
0.460,100.2130,0.9220,2.0000,1.7026,100.5863,100.4384,3.0187
0.470,100.2223,0.9420,2.0000,2.1269,102.2316,100.6260,3.7781
0.480,100.2318,0.9620,2.0000,1.9266,101.2985,100.7205,4.0628
0.490,100.2416,0.9820,2.0000,1.8402,98.0558,100.5198,2.9562
0.500,100.2515,1.0020,2.0000,1.7949,99.4313,100.4497,2.5122
0.510,100.2616,1.0220,2.0000,2.2007,101.5072,100.5670,2.9593
0.520,100.2720,1.0420,2.0000,2.2442,103.1013,100.8199,4.0134
0.530,100.2825,1.0620,2.0000,1.9236,101.0708,100.8789,4.1201
0.540,100.2932,1.0820,2.0000,2.2333,98.9286,100.7430,3.3227
0.550,100.3042,1.1020,2.0000,2.0076,101.8250,100.8695,3.7724
0.560,100.3153,1.1220,2.0000,2.0814,101.0172,100.9171,3.8376
0.570,100.3266,1.1420,2.0000,2.2860,101.7980,101.0303,4.2004
0.580,100.3381,1.1620,2.0000,1.8983,101.0231,101.0681,4.2001
0.590,100.3499,1.1820,2.0000,1.9959,99.8647,100.9999,3.7146
0.600,100.3618,1.2020,2.0000,2.1980,100.2344,100.9661,3.4094
0.610,100.3739,1.2220,2.0000,1.9728,99.8584,100.8994,2.9678
0.620,100.3863,1.2420,2.0000,1.8316,100.9429,100.9304,2.9940
0.630,100.3988,1.2620,2.0000,2.0103,99.6690,100.8465,2.4914
0.640,100.4115,1.2820,2.0000,1.8156,97.9423,100.6133,1.3307
0.650,100.4245,1.3020,2.0000,1.7102,102.6557,100.8054,2.1679
0.660,100.4376,1.3220,2.0000,2.2410,98.6502,100.6355,1.3115
0.670,100.4509,1.3420,2.0000,1.7970,100.1693,100.6066,1.1380
0.680,100.4644,1.3620,2.0000,2.0303,102.4938,100.7830,1.9129
0.690,100.4782,1.3820,2.0000,1.9973,101.5258,100.8658,2.2236
0.700,100.4921,1.4020,2.0000,2.1774,100.5247,100.8562,2.0969
0.710,100.5062,1.4220,2.0000,1.6231,101.7667,100.9554,2.4735
0.720,100.5206,1.4420,2.0000,2.2264,98.3426,100.7487,1.4341
0.730,100.5351,1.4620,2.0000,1.7175,98.5023,100.5647,0.5453
0.740,100.5498,1.4820,2.0000,2.1641,98.9454,100.4277,-0.0876
0.750,100.5648,1.5020,2.0000,1.8642,100.5726,100.4397,-0.0091
0.760,100.5799,1.5220,2.0000,2.3146,99.2026,100.3312,-0.4858
0.770,100.5952,1.5420,2.0000,2.2667,102.5728,100.5234,0.4375
0.780,100.6107,1.5620,2.0000,1.9691,100.5562,100.5304,0.4703
0.790,100.6265,1.5820,2.0000,1.9385,101.3744,100.6088,0.8286
